"Publishers","Journals"
"Institut für Stadt- und Regionalplanung",2
"Institute Henri Poincaré",2
"Institute of Atmospheric Physics",2
"Institute of Mathematics",2
"Institute of Zoology",2
"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",2
"Instituto Jurídico",2
"Instituto de História da Arte",2
"Instituto de Literatura Comparada Margarida Losa (ILC)",2
"Instituto dos Museus e da Conservação",2
"Instituto para o Desenvolvimento da Gestão Empresarial, Projectos",2
"Instytut Medycyny Pracy im. prof J. Nofera (Nofer Institute of Occupational Medicine)",2
"International Academic Research and Technology Center",2
"International Academy of Cardiovascular Sciences",2
"International Association for Energy Economics",2
"International Association for Food Protection",2
"International Bee Research Association",2
"International Glaciological Society",2
"International Medical Society",2
"International Society of Arthroscopy, Knee Surgery, and Orthopaedic Sports Medicine",2
"International Union Against Tuberculosis and Lung Disease",2
"Jagiellonian University",2
"Jagiellonian University",2
"Japan Society of Applied Physics",2
"Japan Society of Plasma Science and Fusion Research (JSPF)",2
"Japan Surgical Society",2
"Japanese Society of Microscopy",2
"Journal Publishing Center",2
"Judicial Division",2
"Julius Kühn-Institut - Bundesforschungsinstitut für Kulturpflanzen (Federal Research Centre for Cultivated Plants)",2
"Khayyam Publishing",2
"Korean Society for Cytopathology",2
"Korean Society for Quality Management",2
"Korean Society of Pathologists",2
"LAR Centre Press",2
"Lasting Impressions Press",2
"Law School",2
"Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Riau",2
"Library Publishing Media",2
"Library and Information Technology Association",2
"London Business School",2
"M3 Center",2
"Margherita-von-Brentano-Zentrum",2
"Marine Biological Association of the United Kingdom",2
"Mary Lou Fulton Teachers College",2
"Masaryk University",2
"Medical Library Association",2
"Meteoritical Society",2
"Micropaleontology Press",2
"Microwave Theory and Techniques Society",2
"Minda de Gunzburg Center for European Studies",2
"Mineralogical Society",2
"Missouri Botanical Garden Press",2
"Molecular Psychiatry Association",2
"Monash University ePress",2
"Museu de Zoologia",2
"Mycological Society of America",2
"NIR Publications",2
"National Agricultural Research and Development Institute (NARDI)",2
"National Bureau of Economic Research (NBER)",2
"National Research University Higher School of Economics",2
"National Taiwan University",2
"New Century Health Publishers",2
"New Zealand Nurses Organisation",2
"Nihon Bunseki Kagakkai",2
"Nonferrous Metals Society of China",2
"Norges geologiske undersøkelse",2
"Norsk kulturråd (Arts Council Norway)",2
"North American Spine Society",2
"Novel Publications",2
"Oboor Publishing Group",2
"Ocean University of China",2
"Oekom Verlag",2
"Ohio State University",2
"Ohio State University Press",2
"Oncology Nursing Society",2
"Open Exploration",2
"Open Science",2
"Organization of Pharmaceutical Unity with BioAllied Sciences",2
"Oñati International Institute for the Sociology of Law Foundation",2
"P4M STIE Putra Bangsa Kebumen",2
"POL Scientific",2
"Pacific Group of e-Journals",2
"Palacký University in Olomouc",2
"Paleontological Society",2
"Peeters Publishers",2
"Pharmaceutical Society of Japan (???????????)",2
"Philosophy of Science Association",2
"Physicians Postgraduate Press",2
"Plekhanov Russian University of Economics",2
"Politechnika Slaska",2
"Polska Akademia Umiejetnosci",2
"Poultry Science Association",2
"Presses de l'Ifpo",2
"Psychology of Education Section",2
"Pubicon International Publisher",2
"Publishing house ""Sreda""",2
"RMIT Publishing",2
"Rainer Hampp Verlag",2
"Redshine Publication",2
"Regional Science Association International",2
"Representation of Azerbaijan International Diaspora Centre in Georgia",2
"Revista de Chimie",2
"Royal Australian and New Zealand College of Psychiatrists (RANZCP)",2
"Royal College of Obstetricians and Gynaecologists",2
"Royal College of Physicians",2
"Royal College of Radiologists",2
"Royal Society of Canada",2
"Russian Academy of Agricultural Sciences",2
"Russian Academy of Sciences, Siberian Branch",2
"SAI Organization",2
"SEPM",2
"School of Law",2
"School of Psychology",2
"SciScan Publishing",2
"Science Reviews 2000",2
"Science and Knowledge House",2
"ScienceOpen",2
"Section of Administrative Law and Regulatory Practice",2
"Section of Antitrust Law",2
"Section of Family Law",2
"Section of Individual Rights and Responsibilities",2
"Section of International Law and Practice",2
"Section of Labor and Employment Law",2
"Section of Real Property, Probate and Trust Law",2
"Section of Science and Technology Law",2
"Section of State and Local Government Law",2
"Seismo Verlag",2
"Seismological Society of America",2
"Seismological Society of China",2
"Senior Lawyers Division",2
"Shanghai Institute of Optics and Fine Mechanics",2
"Shanghai Institutes for Biological Sciences",2
"Shanghai University",2
"Shared Science Publishers",2
"Slovak University of Agriculture in Nitra",2
"Social Sciences Directory",2
"Sociedad Española de Bioquímica Clínica y Patología Molecular (SEQC)",2
"Sociedad Española de Cardiología",2
"Sociedade Portuguesa de Pneumologia",2
"Sociedade Portuguesa para o Estudo das Aves",2
"Society for Applied Anthropology",2
"Society for Experimental Mechanics (SEM)",2
"Society for French Studies",2
"Society for Freshwater Science",2
"Society for Neuroscience",2
"Society for Publication of Acta Dermato-Venereologica",2
"Society for Range Management",2
"Society for Renaissance Studies",2
"Society for the Experimental Analysis of Behavior",2
"Society of Biology",2
"Society of Chemical Engineers of Japan",2
"Society of Dyers and Colourists",2
"Society of Environmental Toxicology and Chemistry Press (SETAC)",2
"Society of Orthopaedic and Trauma Nursing",2
"Società Italiana dell'Obesità",2
"Socio-Legal Research Centre",2
"Sosiaali- ja terveydenhuollon tietojenkäsittely-yhdistys ry",2
"Special Group in Coaching Psychology",2
"Springer Japan",2
"Springer US",2
"Sumathi Publications",2
"Suomen Filosofinen Yhdistys",2
"Suomen Uskontotieteellinen Seura ry",2
"Suomen kasvatuksen ja koulutuksen historian seura (Finnish Society for the History of Education)",2
"Suomen kasvatustieteellinen seura",2
"Sykepleiernes Samarbeid i Norden (Nordic Nurses Federation)",2
"Systems Engineering Society of China (SESC)",2
"TESOL",2
"TU Wien",2
"Texas Medical Center Library",2
"Textrum",2
"UK EPC",2
"Ugarit-Verlag",2
"United Kingdom Serials Group",2
"Universidad Pablo de Olavide",2
"Universidad Politécnica de Cartagena",2
"Universidad Tecnológica de El Salvador",2
"Universidad de La Serena",2
"Universidad de Montevideo",2
"Universidad del Magdalena",2
"Universidade Federal do Rio Grande do Sul",2
"Universidade do Porto",2
"Universitas Padjadjaran",2
"Universitas Pattimura, Fakultas Hukum",2
"Universitas Surabaya",2
"Universiteit Antwerpen",2
"University College London",2
"University of Arizona",2
"University of Electronic Science and Technology of China",2
"University of Kansas",2
"University of Kurdistan Hewlêr",2
"University of Manchester",2
"University of Medicine and Pharmacy of Targu-Mures",2
"University of Münster",2
"University of South Bohemia Ceské Budejovice",2
"Université de Montréal",2
"VLDB Endowment",2
"VSB-Technical University of Ostrava",2
"Vilnius University",2
"Vytautas Magnus University",2
"W. Szafer Institute of Botany",2
"West University of Timisoara",2
"Widmaier Verlag",2
"World Bank",2
"World Institute for Engineering and Technology Education (WIETE)",2
"Yale University",2
"Yonsei University",2
"Young Lawyers Division",2
"Zagazig University",2
"Zhejiang University",2
"'Grigore Antipa' National Museum of Natural History",1
"(ISC)²",1
"1066 Tidsskrift for historie",1
"AABB",1
"ACCB Publishing",1
"ACE Publications",1
"AI Access Foundation",1
"AKROASIS",1
"ALTEX Edition",1
"ANZAMEMS (Australian and New Zealand Association for Medieval and Early Modern Studies)",1
"AO Research Institute Davos",1
"AOAC International",1
"AOCMF",1
"AP2",1
"ARKAT USA",1
"ARLIS UK and Ireland",1
"ARRB Group",1
"ASCD (Association for Supervision and Curriculum Development)",1
"ATHENA Project Consortium",1
"Academia Verlag",1
"Academia da Força Aérea",1
"Academic Association of Pharmacuetical Sciences from Antofagasta",1
"Academician V.I.Shumakov National Medical Research Center of Transplantology and Artificial Organs",1
"Academicus",1
"Academy for Environment and Life Sciences",1
"Academy of Family Physicians of India",1
"Academy of Marketing Science",1
"Academy of Sciences of Moldova",1
"Academy of Spinal Cord Injury Professionals",1
"Acarologia",1
"Accademia Nazionale Italiana di Entomologia",1
"Accademia Peloritana dei Pericolanti",1
"Accounting Research Center",1
"Acta Advances in Agricultural Sciences",1
"Acta Chirurgica Scandinavica Society",1
"Acta Clinica Belgica",1
"Acta Didactica Norge",1
"Actuarial Society of Edinburgh",1
"Actuarial Society of South Africa",1
"Administrative Sciences Association of Canada",1
"Advanced Concepts Team",1
"Aerospace Medical Association (AsMA)",1
"Afdeling for Religionsvidenskab",1
"African Criminology and Justice Association (US)",1
"African Journal of Biological Sciences",1
"African Minds",1
"African Network of Scientific and Technological Institutions",1
"Aged and Community Services Australia",1
"Ageing, Gender, Andrology and Sexual (Sciences) Society of India",1
"Agenzia delle Entrate",1
"Aggteleki Nemzeti Park Igazgatósága",1
"Agora Center",1
"Agricultural Economics Association of South Africa (AEASA)",1
"Agricultural History Society",1
"AgroParisTech, ENGREF",1
"Agrárgazdasági Kutató Intézet",1
"Aile Hekimligi Anabilim Dali",1
"Akademia Górniczo-Hutnicza im. StanisÅ?awa Staszica w Krakowie (AGH University of Science and Technology)",1
"Akademin Valand",1
"Ala",1
"Alanya Hamdullah Emin Pasa Üniversitesi",1
"Alberta Law Review Society",1
"Alcohol Research Documentation",1
"Aletheia - Associação Científica e Cultural",1
"Alexander Graham Bell Association for the Deaf and Hard of Hearing",1
"Alexandrine Press",1
"Alexandru Ioan Cuza University Press",1
"Ali Duman",1
"All India Ophthalmological Society (AIOS)",1
"Alliance for Strong Families and Communities",1
"Alliance of Marine Mammal Parks and Aquariums",1
"Altai State University",1
"Alue- ja ympäristötutkimuksen seura",1
"American Academy for Emergency Medicine in India (AAEMI)",1
"American Academy of Addiction Psychiatry",1
"American Academy of Allergy, Asthma and Immunology",1
"American Academy of Arts and Sciences",1
"American Academy of Audiology",1
"American Academy of Clinical Neuropsychology",1
"American Academy of Clinical Toxicology",1
"American Academy of Dental Sleep Medicine (AADSM)",1
"American Academy of Dermatology",1
"American Academy of Emergency Medicine",1
"American Academy of Esthetic Dentistry",1
"American Academy of Forensic Sciences (AAFS)",1
"American Academy of Health Behavior",1
"American Academy of Hospice and Palliative Medicine",1
"American Academy of Implant Dentistry",1
"American Academy of Medical Acupuncture",1
"American Academy of Ophthalmology",1
"American Academy of Optometry",1
"American Academy of Orofacial Pain",1
"American Academy of Orthopaedic Manual Physical Therapists",1
"American Academy of Othotists and Prothetists",1
"American Academy of Otolaryngologic Allergy",1
"American Academy of Otolaryngology-Head and Neck Surgery Foundation",1
"American Academy of Pain Medicine",1
"American Academy of Physical Medicine and Rehabilitation (AAPM&amp;R)",1
"American Academy of Political and Social Science",1
"American Academy of Religion",1
"American Academy of School Psychology",1
"American Academy of Veterinary Nutrition (AAVN)",1
"American Academy of Veterinary Pharmacology and Therapeutics",1
"American Academy on Communication in Healthcare (AACH)",1
"American Aging Association",1
"American Alliance of Academic Chief Residents in Radiology",1
"American Antiquarian Society",1
"American Arachnological Society",1
"American Association for Agricultural Education",1
"American Association for Hand Surgery",1
"American Association for Italian Studies",1
"American Association for Marriage and Family Therapy",1
"American Association for Medical Chronobiology and Chronotherapeutics",1
"American Association for Pediatric Ophthalmology and Strabismus",1
"American Association for the Advancement of Slavic Studies (AAASS)",1
"American Association for the History of Medicine (AAHM)",1
"American Association for the History of Nursing",1
"American Association for the Surgery of Trauma",1
"American Association of Australian Literary Studies",1
"American Association of Cardiovascular and Pulmonary Rehabilitation",1
"American Association of Children's Residential Centers",1
"American Association of Clinical Anatomists",1
"American Association of Clinical Directors",1
"American Association of Colleges for Teacher Education (AACTE)",1
"American Association of Colleges of Nursing",1
"American Association of Endocrine Surgeons",1
"American Association of Endodontists",1
"American Association of Equine Practitioners",1
"American Association of Family and Consumer Sciences",1
"American Association of Feline Practitioners",1
"American Association of Hip and Knee Surgeons",1
"American Association of Hispanics in Higher Education",1
"American Association of Hospital Dentists",1
"American Association of Law Libraries",1
"American Association of Medical Dosimetrists",1
"American Association of Neuropathologists (AANP)",1
"American Association of Neuroscience Nurses",1
"American Association of Occupational Health Nurses",1
"American Association of Oral Biologists",1
"American Association of Oral and Maxillofacial Surgeons",1
"American Association of Orthodontists",1
"American Association of Physical Anthropologists",1
"American Association of Public Health Dentistry",1
"American Association of Sexuality Educators, Counselors and Therapists (AASECT)",1
"American Association of Suicidology",1
"American Association of Teachers of Slavic and East European Languages",1
"American Association of Teachers of Spanish and Portuguese (AATSP)",1
"American Association of Veterinary Laboratory Diagnosticians",1
"American Association of Veterinary Parasitologists (AAVP)",1
"American Association of Wine Economists",1
"American Association of Zoo Veterinarians",1
"American Association on Health and Disability",1
"American Auditory Society",1
"American Bande Dessinée Society",1
"American Bar Foundation",1
"American Biodontics Society",1
"American Board of Family Medicine (ABFM)",1
"American Board of Pediatric Dentistry",1
"American Brachytherapy Society",1
"American Burn Association",1
"American Carbon Society",1
"American Catholic Historical Association",1
"American Cleft Palate-Craniofacial Association",1
"American Clinical Neurophysiology Society",1
"American College Counseling Association",1
"American College Personnel Association (ACPA)",1
"American College of Allergy, Asthma and Immunology",1
"American College of Certified Wound Specialists",1
"American College of Chest Physicians (ACCP)",1
"American College of Epidemiology",1
"American College of Foot and Ankle Surgeons",1
"American College of Legal Medicine (ACLM)",1
"American College of Lifestyle Medicine",1
"American College of Medical Genetics and Genomics",1
"American College of Medical Quality",1
"American College of Neuropsychopharmacology (ACNP)",1
"American College of Nutrition",1
"American College of Obstetricians and Gynecologists",1
"American College of Occupational and Environmental Medicine",1
"American College of Osteopathic Family Physicians",1
"American College of Phlebology",1
"American College of Preventive Medicine",1
"American College of Prosthodontists",1
"American College of Radiation Oncology",1
"American College of Radiology",1
"American College of Surgeons",1
"American College of Toxicology",1
"American College of Veterinary Dermatology",1
"American College of Veterinary Pathologists",1
"American College of Veterinary Radiology",1
"American College of Veterinary Surgeons",1
"American Committee on Asian Economic Studies",1
"American Comparative Literature Association",1
"American Conference of Industrial Hygienists (ACGIH)",1
"American Congress of Rehabilitation Medicine",1
"American Constitution Society for Law and Policy",1
"American Contact Dermatitis Society (ACDS)",1
"American Council of Learned Societies",1
"American Council on Consumer Interests",1
"American Council on the Teaching of Foreign Languages",1
"American Crystal Association",1
"American Culture Association",1
"American Dairy Science Association",1
"American Dance Therapy Association",1
"American Dental Association",1
"American Dialect Society",1
"American Dietetic Association",1
"American Education Finance Association",1
"American Education Research Association Queer Studies SIG",1
"American Educational Studies Association (AESA)",1
"American Epilepsy Society",1
"American Evaluation Association",1
"American Finance Association",1
"American Folklore Society",1
"American Foundation for the Blind",1
"American Genetic Association",1
"American Geographical Society of New York",1
"American Geriatrics Society",1
"American Group Psychotherapy Association",1
"American Health Assistance Foundation",1
"American Hepato-Pancreato-Biliary Association (AHPBA)",1
"American Hernia Society (AHS)",1
"American Holistic Nurses Association",1
"American Hungarian Educator's Association",1
"American Journal of Health Promotion",1
"American Kinesiology Association",1
"American Law and Economics Association",1
"American Medical Informatics Association (AMIA)",1
"American Medical Women's Association",1
"American Montessori Society",1
"American Mosquito Control Association",1
"American Name Society",1
"American Occupational Therapy Association",1
"American Oriental Society",1
"American Osteopathic Academy of Addiction Medicine",1
"American Osteopathic Academy of Sports Medicine",1
"American Podiatric Medical Association",1
"American Real Estate and Urban Economics Association",1
"American Roentgen Ray Society (ARRS)",1
"American School of Classical Studies at Athens",1
"American Society for Clinical Laboratory Science",1
"American Society for Clinical Pharmacology and Therapeutics",1
"American Society for Enology and Viticulture",1
"American Society for Legal History",1
"American Society for Nondestructive Testing",1
"American Society of Church History",1
"American Society of Comparative Law",1
"American Society of Health-System Pharmacists",1
"American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE)",1
"American Society of Ichthyologists and Herpetologists",1
"American Society of Law, Medicine and Ethics",1
"American Society of Neuroradiology",1
"American Society of Papyrologists",1
"American Society of Parasitologists",1
"American Society of Tropical Medicine and Hygiene",1
"American Society on Aging (ASA)",1
"American Thyroid Association",1
"American Urological Association (AUA)",1
"Ames Foundation",1
"Anagnorisis",1
"Anaphora Literary Press",1
"Andover House",1
"AngloHigher",1
"Angol-Amerikai Intézet",1
"Anil Aggrawal's Internet Journal of Forensic Medicine and Toxicology",1
"Anistoriton",1
"Annals of Family Medicine",1
"Annals of Genealogical Research",1
"Annals of International Medical and Dental Research",1
"Annals of Palliative Medicine",1
"Antennas and Propagation Society",1
"Antiquity Publications",1
"Anton Melik Geographical Institute",1
"Aphra Behn Society",1
"Apparatus",1
"Applied Regional Science Conference",1
"Aprofema",1
"Aptisi",1
"Aquatic Mammals",1
"Aracne editrice",1
"Archaeological Institute of America",1
"Archives of Budo",1
"Arctic Institute of North America",1
"Ariadna Ediciones",1
"Aristotle University in Thessaloniki",1
"Arkhimedes",1
"Armenian State Pedagogical University",1
"Arquimed",1
"Arquivo Municipal Alfredo Pimenta",1
"Arr",1
"Ars Aequi",1
"Art in Print",1
"Arán ediciones",1
"As-Sibyan : Jurnal Pendidikan Anak Usia Dini",1
"Asesorías y Tutorías para la Investigación Científica en la Educación Puig-Salabarría S.C.",1
"Asia-Pacific Primary Liver Cancer Expert Association",1
"Asian Pacific Journal of Nursing and Health Sciences",1
"Asian Professional Counsellors Association, Hong Kong",1
"Asociace korozních inženýru",1
"Asociacion Coloumbiana de Profesores de Ingles (ASOCOPI)",1
"Asociacion Cuadernos de Economia",1
"Asociacion Didactica Andalucia (Didactic Association Andalucia)",1
"Asociacion Espanola de Documentacion e Informacion (SEDIC)",1
"Asociacion Historia Abierta",1
"Asociacion Nicaraguense de Entomologia",1
"Asociacion de Economia Aplicadad (ASEPELT)",1
"Asociacion de Profesionales Independientes de la Arqueologia de Asturias",1
"Asociacion para la Difusion y el Estudio de la Cultura Japonese en Andalucia",1
"Asociación Argentina de Dermatología",1
"Asociación Cientifica ICONO 14",1
"Asociación Colombiana de Nutrición Clínica",1
"Asociación Cultural Zibaldone",1
"Asociación Española de Biopatología Médica, Órgano de expresión científica",1
"Asociación Española de Comprensión Lectora (AECL)",1
"Asociación Española de Psicología Conductual (AEPC)",1
"Asociación Herpetológica Argentina",1
"Asociación Hombre y Territorio",1
"Asociación INFAD",1
"Asociación Iberoamericana de Educación Superior a Distancia (AIESAD)",1
"Asociación de Profesores Amigos de la Ciencia Eureka",1
"Asociación para el Avance de la Psicología y la Educación (AAPE)",1
"Asociatia de Cooperare Cultural-Educationala Suceava",1
"Associacao dos Estudantes",1
"Associació Cinefòrum L'Atalante",1
"Associación Latinoamericana de Población",1
"Association Developpement Durable et Territoires",1
"Association La Nouvelle Revue du Travail",1
"Association Reunionnaise d'Ecologie",1
"Association canadienne de science politique (ACSP)",1
"Association d'Ethno-linguistique Amerindienne",1
"Association des Annales de l'Institut Fourier",1
"Association for Assessment in Counseling and Education (AACE)",1
"Association for Global Business",1
"Association for Learning Development in Higher Education (ALDinHE)",1
"Association for Library and Information Science Education (ALISE)",1
"Association for Medical Education in Europe",1
"Association for Physical Education",1
"Association for Politics and the Life Sciences",1
"Association for Slavic, East European, and Eurasian Studies (ASEEES)",1
"Association for the Development of Science, Engineering and Education",1
"Association of Agricultural Economists in Slovakia",1
"Association of Alumni in Modern Languages and Literatures",1
"Association of American Medical Colleges",1
"Association of Basic Medical Sciences of Federation of Bosnia and Herzegovina",1
"Association of British Neurologists (ABN)",1
"Association of British Paediatric Nurses",1
"Association of Chartered Physiotherapists in Respiratory Care (ACPRC)",1
"Association of Digital Forensics, Security and Law",1
"Association of Learned and Professional Society Publishers (ALPSP)",1
"Association of Librarians and Information Professionals in the Social Sciences (ALISS)",1
"Association of Medical Research Charities",1
"Association of Occupational Science",1
"Association of Otolaryngologists of India, West Bengal",1
"Association of Paediatric Surgeons of Nigeria",1
"Association of Rheumatology Health Professionals",1
"Association of Schools of Allied Health Professions",1
"Association of Schools of Public Health",1
"Association of University Administrators",1
"Association of University Lecturers in Religion and Education",1
"Association of University Radiologists",1
"Association pour la Recherche sur la Cognition",1
"Association pour le Développement de l'Apprentissage des Langues par les Systèmes d'Information et de Communication (ADALSIC)",1
"Association pour le Traitement Automatique des Langues (ATALA)",1
"Association pour le développement de la recherché en économie et en statistique (ADRES)",1
"Association pour le développement de la revue Temporalités (ADRT)",1
"Associazione Italiana di Endourologia",1
"Associazione Teriologica Italiana",1
"Associazione Urologi Italiani",1
"Associazione per l'Utilizzo delle Conoscenze Neuroscientifiche a fini Sociali (AU-CNS)",1
"Associazione per la Storia della Lingua Italiana",1
"Associação Catarinense de Bibliotecários",1
"Associação Lusófona para o Desenvolvimento da investigação e Ensino em Ciências da Saúde (ALIES)",1
"Associação Nacional dos Cursos de Graduação em Administração (ANGRAD)",1
"Associação Portuguesa de Críticos de Teatro",1
"Associação Portuguesa de Estudos Franceses (APEF)",1
"Associação Portuguesa de Estudos sobre as Mulheres (APEM)",1
"Associação Portuguesa de Geólogos",1
"Associação Portuguesa de Psicologia",1
"Associação Portuguesa dos Nutricionistas",1
"Associação Portuguesa para o Desenvolvimento Regional",1
"Associação de Editores do Journal of Portuguese Linguistics (AEJPL)",1
"Associação de Professores de Matemática",1
"Atreya Ayurveda Publications",1
"Audio Engineering Society",1
"Australasian Association for Information Systems (AAIS)",1
"Australasian Medical Journal",1
"Australasian Society for Computers in Learning in Tertiary Education",1
"Australian Accoustical Society",1
"Australian Clearinghouse for Youth Studies",1
"Australian Computer Society Inc",1
"Australian Physiotherapy Association",1
"Australian Rock Art Research Association",1
"Australian School of Business",1
"Australian Society of Anaesthetists",1
"Australian and New Zealand Marketing Academy (ANZMAC)",1
"Austrian Law Journal",1
"Austrian Pharmacological Society",1
"Automated Methods Group",1
"Azerbaijan State Oil and Industry University",1
"BAR Publishing",1
"BIOFBE",1
"BKL Walawalkar Rural Medical College and Hospital",1
"BMW Center for German and European Studies",1
"Babali Nursing Research",1
"Bacteriology and Applied Microbiology Division",1
"Balaban Publishers – Desalination Publications",1
"Balai Besar Teknologi Pencegahan Pencemaran Industri",1
"Bangladesh Association of Young Researchers",1
"Bangladesh Livestock Society",1
"Bangladesh Medical Research Council",1
"Bangladesh Pharmacological Society",1
"Bangladesh Society of Medicine",1
"Bareknuckle Books",1
"Basque Studies",1
"Baylor University",1
"Becker Associates",1
"Beijer Institute of Ecological Economics",1
"Beijing Jiaotong University",1
"Beijing Normal University Press",1
"Beijing Urban Rapid Rail Press",1
"Belgorod National Research University",1
"Belitung Raya Foundation",1
"Belvedere Meridionale",1
"Bhojia Dental College and Hospital",1
"Bifröst Journal of Social Science",1
"Bifröst University in Iceland",1
"Bio-Protocol",1
"Bioclues Organization",1
"Biolinguistics",1
"Biological Society of Washington",1
"Biology Department",1
"Biome Scientia",1
"Biophysical Society",1
"Biophysical Society of China",1
"Bioresource Research Centre",1
"Biotechnical Faculty",1
"Biotechnology Society of Nepal",1
"Biotehnicki Institut Podgorica",1
"Birth and Parent Education",1
"Bogor Agricultural University",1
"Boidecanto SL",1
"Book Arts Web",1
"Boom Criminologie",1
"Booth School of Business",1
"Boreal Environment Research Publishing Board",1
"Borges Center",1
"Borsa Istanbul Anonim Sirketi",1
"Brazilian Association of Soils Mechanics and Geotechnical Engineering",1
"Brazilian Statistical Society",1
"British Academy of Aesthetic Dentistry",1
"British Academy of Forensic Sciences",1
"British Agricultural History Society",1
"British Anaesthetic and Recovery Nurses Association",1
"British Archaeological Association",1
"British Association for Chinese Studies",1
"British Association for Counselling and Psychotherapy",1
"British Association for International and Comparative Education",1
"British Association for Irish Studies",1
"British Association for Japanese Studies",1
"British Association for South Asian Studies (BASAS)",1
"British Association for Surgery of the Knee (BASK)",1
"British Association for the Study of Religions (BASR)",1
"British Association for the Study of Spirituality (BASS)",1
"British Association of Adoption and Fostering",1
"British Association of Art Therapists",1
"British Association of Clinical Anatomists",1
"British Association of Community Child Health (BACCH)",1
"British Association of Critical Care Nurses",1
"British Association of Hand Therapists (BAHT)",1
"British Association of Lecturers in English for Academic Purposes (BALEAP)",1
"British Association of Oral Surgeons",1
"British Association of Oral and Maxillofacial Surgeons",1
"British Association of Paediatric Surgeons",1
"British Association of Plastic, Reconstructive and Aesthetic Surgeons (BAPRAS)",1
"British Association of Sport and Exercise Medicine (BASEM)",1
"British Association of Sport and Exercise Sciences",1
"British Association of Teachers of the Deaf (BATOD)",1
"British Association of Urological Nurses (BAUN)",1
"British Blood Transfusion Society",1
"British Bryological Society",1
"British Cartographic Society",1
"British Centre for Durkheimian Studies",1
"British Cochlear Implant Group",1
"British Comparative Literature Association",1
"British Contact Lens Association",1
"British Council",1
"British Curriculum Foundation",1
"British Dam Society",1
"British Dietetic Association",1
"British Dyslexia Association",1
"British Elbow and Shoulder Society",1
"British Endodontic Society",1
"British Epilepsy Association",1
"British Fertility Society",1
"British Forum for Ethnomusicology",1
"British Geriatrics Society",1
"British Gestalt Journal",1
"British HIV Association",1
"British Hydrological Society (BHS)",1
"British Infection Society",1
"British Institute at Ankara",1
"British Institute of International and Comparative Law",1
"British Institute of Learning Disabilities",1
"British Institute of Musculoskeletal Medicine (BIMM)",1
"British Institute of Persian Studies",1
"British Lichen Society",1
"British Mass Spectrometry Society",1
"British Medical Acupuncture Society (BMAS)",1
"British Medical Laser Association",1
"British Medical Ultrasound Society",1
"British Menopause Society",1
"British Neuropathological Society",1
"British Nuclear Medicine Society",1
"British Nutrition Foundation",1
"British Occupational Hygiene Society",1
"British Ornithologists Union",1
"British Orthodontic Society",1
"British Pain Society",1
"British Philosophy of Sport Association",1
"British Photodermatology Group",1
"British Phycological Society",1
"British Psycho-Oncology Society (BPOS)",1
"British Scholar Society",1
"British School at Athens",1
"British School at Rome",1
"British Shakespeare Association",1
"British Skull Base Society",1
"British Small Animal Veterinary Association",1
"British Society for Antimicrobial Chemotherapy",1
"British Society for Cervical Pathology",1
"British Society for Clinical Cytology",1
"British Society for Developmental Disabilities",1
"British Society for Eighteenth-Century Studies",1
"British Society for Gene Therapy",1
"British Society for Geomorphology",1
"British Society for Middle Eastern Studies (BRISMES)",1
"British Society for Nanomedicine",1
"British Society for Oral Medicine",1
"British Society for Research into Learning Mathematics",1
"British Society for Research on Ageing (BSRA)",1
"British Society for Rheumatology",1
"British Society for the History of Mathematics (BSHM)",1
"British Society for the History of Philosophy",1
"British Society for the Philosophy of Science",1
"British Society of Aesthetics",1
"British Society of Criminology",1
"British Society of Dental Sleep Medicine (BSDSM)",1
"British Society of Echocardiology",1
"British Society of Experimental and Clinical Hypnosis",1
"British Society of Gerontology",1
"British Society of Interventional Radiology",1
"British Society of Oral Implantology (BSOI)",1
"British Society of Oral and Maxillofacial Pathology",1
"British Society of Paediatric Dentistry (BSPD)",1
"British Society of Sports History",1
"British Society of Urogynaecology",1
"British Thoracic Society",1
"British Toxicology Society",1
"British Trauma Society",1
"British Trust for Ornithology",1
"British Veterinary Nursing Association",1
"British Veterinary Oncology Study Group",1
"British Veterinary Orthopaedic Association (B.V.O.A.)",1
"British Voice Association",1
"British and Irish Association for Practical Theology (BIAPT)",1
"British and Irish Association of Law Librarians",1
"British and Irish Orthoptic Society",1
"British and Irish Section",1
"Brontë Society",1
"Brown University",1
"Bryn Mawr Commentaries",1
"Bulgarian Association of Young Surgeons",1
"Bundesinstitut für Bevölkerungsforschung (Federal Institue for Population Research)",1
"Burlington Magazine Publications",1
"Buro van die WAT",1
"Business Law Section",1
"Business Systems Laboratory",1
"Byron Society",1
"Bülent Ecevit University",1
"CAPIC Review",1
"CENALTES",1
"CETAC.MEDIA",1
"CEUR Workshop Proceedings",1
"CHAKIÑAN, Revista de Ciencias Sociales y Humanidades",1
"CIGRE (International Council on Large Electric Systems)",1
"CISP Press",1
"COMPUSOFT",1
"CONICET, Centro de Investigaciones y Estudios sobre Cultura y Sociedad (CIECS)",1
"CPRM",1
"CRC Press",1
"CSSALL Publishers",1
"Cairo University",1
"Caister Academic Press",1
"Calicut Medical College",1
"California Separation Science Society (CASSS)",1
"Cambridge Entomological Club",1
"Cambridge Philological Society",1
"Canadian Academy of Manipulative Therapy",1
"Canadian Acoustical Association",1
