"publisher","journals","reviews"
"Palaeontological Society of Japan",2,"47"
"Klinicka Bolnica Sestre Milosrdnice",2,"45"
"Mansoura University; Faculty of Medicine. Department of Forensic Medicine and Toxicology",2,"45"
"Oceania Publications (OP)",2,"45"
"Ornithological Society of Japan",2,"44"
"Association of Metallurgical Engineers of Serbia",2,"43"
"Biomedical Research Foundation",2,"43"
"Federico II University",2,"43"
"Indian Association of Preventive and Social Medicine Uttar Pradesh and Uttarakhand (IAPSMUPUK) State Chapter",2,"43"
"Linguistic Society of America",2,"43"
"Mathematical Association of America",2,"43"
"Population Council",2,"43"
"INIFAP-CENID Parasitologia Veterinaria",2,"42"
"National Museum/Narodni muzeum",2,"42"
"Southeast University",2,"42"
"SPB Academic Publishing bv",2,"42"
"Faculdade de Educação, Universidade Federal de Minas Gerais",2,"41"
"International Society for Horticultural Science",2,"41"
"Missouri Botanical Garden",2,"41"
"Rocky Mountain Mathematics Consortium",2,"41"
"South African Institute of Mining and Metallurgy",2,"41"
"Canadian Association of Occupational Therapists",2,"40"
"China University of Science and Technology",2,"40"
"Korea Ocean Research and Development Institute",2,"40"
"Les Amis d'Acarologia",2,"40"
"Brazilian Thoracic Association",2,"39"
"Unione Matematica Italiana",2,"39"
"Universitat Autonoma de Barcelona, Servei de Publicacions",2,"39"
"Valley International",2,"39"
"Moment Publications",2,"38"
"Society of Toxicology India",2,"38"
"Technical University of Cluj-Napoca",2,"38"
"Universidad Autonoma de Yucatan",2,"38"
"British Institute of Non-Destructive Testing",2,"37"
"Monash University ePress",2,"37"
"Popular Culture Association/American Culture Association",2,"37"
"SICHUAN LABMOTIF TECH CO LTD",2,"37"
"University of the Aegean",2,"37"
"Gordon and Breach Science Publishers",2,"36"
"Science Insight",2,"36"
"Grupo Verde de Agroecologia e Abelhas (GVAA)",2,"35"
"Taras Shevchenko National University of Kyiv",2,"35"
"Czech Geological Survey",2,"34"
"Electrochemical Society, Inc.",2,"34"
"Johnson Matthey Public Limited Company",2,"34"
"Verlag Dr. Friedrich Pfeil",2,"34"
"Wydawnictwo SIGMA - N O T Sp. z o.o.",2,"33"
"Charles Babbage Research Centre",2,"32"
"Iuliu Hatieganu Medical Publishing House",2,"32"
"Yukawa Institute for Theoretical Physics",2,"32"
"British Equine Veterinary Association",2,"31"
"Emergency Medicine Physicians Association of Turkey",2,"31"
"Ernst Reinhardt Verlag",2,"31"
"Galenos",2,"31"
"International Association for Hydro-Environment Engineering and Research",2,"31"
"Israel Medical Association",2,"31"
"Ivano-Frankivsk National Medical University",2,"31"
"European Knowledge Development (EUROKD)",2,"30"
"North American Society for Social Philosophy",2,"30"
"Asian Development Bank",2,"29"
"MO.RI Publishing",2,"29"
"University of Cambridge",2,"29"
"Charles University",2,"28"
"SHANDONG UNIV OF SCIENCE & TECH (SDUST)",2,"28"
"Altai State University",2,"27"
"Facultad de Ingeniería - UNAM",2,"27"
"Growing Science",2,"27"
"Institute of Management Sciences (IMSciences)",2,"27"
"Medwell Journals",2,"27"
"Oldenbourg Wissenschaftsverlag GmbH",2,"27"
"Institute of Electrostatics Japan",2,"26"
"Jagellonian University",2,"26"
"Massey University",2,"26"
"Tusi Mathematical Research Group",2,"26"
"Adam Marszalek Publishing House",2,"25"
"Australian Society of Orthodontists",2,"25"
"Pakistan Academy of Sciences",2,"25"
"Swets & Zeitlinger",2,"24"
"Chinese Society for Internal Combustion Engines",2,"23"
"Gobierno de Navarra",2,"23"
"Ideas Spread Inc",2,"23"
"KwaZulu-Natal Museum",2,"23"
"Universidad de Sevilla, Servicio de Publicaciones",2,"23"
"Universitaria Publishing House, University of Craiova",2,"23"
"SOCIEDADE BRASILEIRA DE HEMODINAMICA E CARDIOLOGIA INTERVENCIONISTA (SBHCI)",2,"22"
"Suez Canal University",2,"22"
"University of Idaho Library",2,"22"
"Vandana Publications",2,"22"
"Botanischer Garten und Botanisches Museum Berlin-Dahlem",2,"21"
"Drustvo Matematicara Srbije",2,"21"
"Engg Journals Publications",2,"21"
"KenzPub",2,"21"
"Photonics Society of Polnad",2,"21"
"Plankton Society of Japan",2,"21"
"Society for Mining, Metallurgy and Exploration",2,"21"
"Universidad El Bosque",2,"21"
"University of Bielefeld",2,"21"
"Geographical Society of Finland",2,"20"
"Impact Journals",2,"20"
"Institute of Biomedical Chemistry",2,"20"
"Japanese Society for Horticultural Science",2,"20"
"Nancy International Limited",2,"20"
"Universidad de Almeria",2,"20"
"Associazione Elettrotecnica ed Elettronica Italiana",2,"19"
"Faculty of Applied Sciences, Universiti Teknologi MARA",2,"19"
"Mediscript Ltd",2,"19"
"Universidad de Cordoba",2,"19"
"Verlag Ferdinand Berger und Sohne GmbH",2,"19"
"World Academic Union",2,"19"
"Faculdade de Filosofia, Letras e Ciências Humanas, Universidade de São Paulo",2,"18"
"Fundacja Lekarzy Polskich-Pro-Medica",2,"18"
"Institute of International Relations",2,"18"
"Micropaleontology Press",2,"18"
"Society of Industrial and Applied Mathematics",2,"18"
"Southern Public Administration Education Foundation Inc.",2,"18"
"Universitatea Babes-Bolyai, Catedra de Filosofie Sistematica",2,"18"
"Vasyl Stefanyk Precarpathian National University",2,"18"
"Ediciones Universitarias de Valparaiso",2,"17"
"Korean Dermatological Association",2,"17"
"Korean Society of Pharmacognosy",2,"17"
"Lifescience Global",2,"17"
"Tallinn University",2,"17"
"The Korean Society for Applied Biological Chemistry",2,"17"
"Yuzuncu Yil University",2,"17"
"European Centre for Ethics",2,"16"
"Foundation of the American College of Healthcare Executives",2,"16"
"Vrije Universiteit Amsterdam",2,"16"
"Watam Press",2,"16"
"Adis Press",2,"15"
"Brookings Institution Press",2,"15"
"Canadian Mathematical Society",2,"15"
"Council of Scientific and Industrial Research",2,"15"
"Oklahoma State University",2,"15"
"Pharmaceutical Press",2,"15"
"Taiwan Nurses Association",2,"15"
"Universidad Catolica del Norte",2,"15"
"Universidad de La Habana",2,"15"
"Universitas Negeri Medan",2,"15"
"Engineers Media",2,"14"
"Korean Surgical Society",2,"14"
"Medical Letter Inc.",2,"14"
"Mineralogical Society of America",2,"14"
"Sociedad Mexicana de Ingenieria Biomedica",2,"14"
"Society for Microelectronics, Electric Components and Materials",2,"14"
"Universidad Catolica de Colombia",2,"14"
"Universidad de Talca",2,"14"
"Zanjan University of Medical Sciences and Health Services",2,"14"
"American Risk and Insurance Association",2,"13"
"Association for Symbolic Logic",2,"13"
"DEStech Publications Inc.",2,"13"
"Fundacio per la Universitat Oberta de Catalunya",2,"13"
"Mathematical Society of Japan - Kobe University",2,"13"
"Monash University",2,"13"
"R. Oldenbourg",2,"13"
"The Austrian Academy of Sciences Press",2,"13"
"Uitgeverij Boom",2,"13"
"University of Puerto Rico",2,"13"
"Academy of Legal Studies in Business",2,"12"
"Beijing University Press",2,"12"
"El Colegio de México",2,"12"
"Financial Management Association International",2,"12"
"Hiroshima University",2,"12"
"Hungarian Central Statistical Office",2,"12"
"Japan Academy",2,"12"
"Japan Society of Applied Physics",2,"12"
"Universidad de Valencia",2,"12"
"University of Leeds",2,"12"
"Univerzita Komenskeho",2,"12"
"Yokohama Publications",2,"12"
"Assoc. Int. Agricultural and Extension Education",2,"11"
"Council for Exceptional Children",2,"11"
"Institute of Mathematics and Informatics",2,"11"
"Menoufia University, Faculty of Engineering",2,"11"
"North University of Baia Mare",2,"11"
"Sociedad Espanola de Paleontologia",2,"11"
"Tribhuvan University",2,"11"
"Universiteit Gent",2,"11"
"Vysoka Skola Ekonomicka",2,"11"
"Asian Research Publishing Network (ARPN)",2,"10"
"Association francaise pour l'etude du quaternaire",2,"10"
"Central European University",2,"10"
"Council on Tall Buildings and Urban Habitat",2,"10"
"Erudit Publishers",2,"10"
"Institute of Image Information and Television Engineers",2,"10"
"Instytut Psychiatrii I Neurologii",2,"10"
"Practical Action Publishing",2,"10"
"Southeast Asian Ministers of Education Organisation",2,"10"
"Univerisdad de Los Andes",2,"10"
"University of Stellenbosch",2,"10"
"Chinese Ceramic Society",2,"9"
"Dalian University of Technology",2,"9"
"I M Publications",2,"9"
"KIZILAY DERNEGI",2,"9"
"The Slovak Association for the Study of English",2,"9"
"Universidade de Sao Paulo, Faculdade de Filosofia",2,"9"
"University of Oregon",2,"9"
"University of Texas at Dallas",2,"9"
"University of Warsaw",2,"9"
"University of Windsor",2,"9"
"Verlag M. und H. Schaper GmbH",2,"9"
"AFRICAN FIELD EPIDEMIOLOGY NETWORK",2,"8"
"Association for the Advancement of Computing in Education",2,"8"
"Austrian Academy of Sciences",2,"8"
"Edward Elgar Publishing",2,"8"
"KMK Scientific Press Ltd.",2,"8"
"Michigan State University Press",2,"8"
"National Institute on Alcohol Abuse and Alcoholism (NIAAA)",2,"8"
"School of Social Work",2,"8"
"University College London",2,"8"
"University of La Rioja",2,"8"
"University of Warwick",2,"8"
"Welcome Trust Centre for the History of Medicine",2,"8"
"1 Decembrie 1918 University of Alba Iulia",2,"7"
"Association for Education in Journalism and Mass Communication",2,"7"
"Ateneo de Manila University",2,"7"
"Chinese University Press",2,"7"
"Eszterhazy Karoly College",2,"7"
"Gallaudet University Press",2,"7"
"Institute of Economics (Zagreb)",2,"7"
"KRPOCH Publishing",2,"7"
"National Institute of Standards and Technology",2,"7"
"North Carolina State University",2,"7"
"Policy Studies Organisation",2,"7"
"Pontifícia Universidade Católica de São Paulo",2,"7"
"PWN-Polish Scientific Publishers",2,"7"
"Scientific Journals International (SJI)",2,"7"
"The International Academic Forum",2,"7"
"Universite Laval",2,"7"
"University of Primorska",2,"7"
"Western Michigan University",2,"7"
"Xi'an Jiaotong University",2,"7"
"American Nurses Association",2,"6"
"Atena Journals",2,"6"
"Banca Monte dei Paschi di Siena",2,"6"
"Beijing Forestry University",2,"6"
"Case Western Reserve University. Law School",2,"6"
"De Gruyter Mouton",2,"6"
"Editions Ophrys",2,"6"
"Faculty of Computer Science and Information Technology",2,"6"
"International Water Association",2,"6"
"Jangjeon Mathematical Society",2,"6"
"Japanese Society for Medical Mycology",2,"6"
"Juventa Verlag GmbH",2,"6"
"Nepal Agricultural Research Council",2,"6"
"Societe Mathematique de France",2,"6"
"Sociologia Editrice il Mulino",2,"6"
"Tallinn University of Technology (TalTech)",2,"6"
"The Information Resources Management Association (IRMA)",2,"6"
"University of Bologna",2,"6"
"University of Tulsa",2,"6"
"University of Wroclaw",2,"6"
"Univesidad de Granada",2,"6"
"Visayas State University",2,"6"
"Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza",2,"6"
"Auburn University",2,"5"
"Boston University",2,"5"
"Children's Hospital Zagreb",2,"5"
"Hrvatsko Sociolosko Drustvo/Croatian Sociological Association",2,"5"
"Linkoping University Electronic Press",2,"5"
"Medcom Limited",2,"5"
"N/A",2,"5"
"Nursecom Publication",2,"5"
"Queensland Museum",2,"5"
"Sociedade Brasileira de Coloproctologia",2,"5"
"Southern Illinois University Press",2,"5"
"University of North Carolina Greensboro",2,"5"
"Academia Nacional de Medicina",2,"4"
"Afyon Kocatepe Üniversitesi",2,"4"
"American Health Information Management Association",2,"4"
"Archaeological Institute of America",2,"4"
"Higher Education Academy",2,"4"
"Ifjusagi Lapkiado Vallalat",2,"4"
"Institute for the Study of Man, Inc.",2,"4"
"Institute of Mathematics, Polish Academy of Sciences",2,"4"
"Japan Epilepsy Society",2,"4"
"Juta and Company Ltd",2,"4"
"Kexue Chubaneshe/Science Press",2,"4"
"La Trobe University",2,"4"
"Logos Medical Publishing",2,"4"
"Louisiana State University",2,"4"
"Patron Editore",2,"4"
"Pivot Science Publications Corporation",2,"4"
"Societa Editrice II Mulino",2,"4"
"St. Petersburg Federal Research Center of the Russian Academy of Sciences",2,"4"
"TESOL",2,"4"
"Universitatea din Craiova",2,"4"
"University of Dhaka",2,"4"
"University of Maryland",2,"4"
"University Press of Southern Denmark",2,"4"
"Vital Biotech",2,"4"
"Alma Mater Studiorum  (Bologna)",2,"3"
"Appalachian State University",2,"3"
"Ariesdue srl",2,"3"
"ATHA COMUNICAÇÃO & EDITORA LTDA",2,"3"
"Columbia University",2,"3"
"European-American Journals",2,"3"
"Hrvatsko Filozofsko Drustvo",2,"3"
"Institute for Research and Community Services, Institut Teknologi Bandung",2,"3"
"Instituto Nacional de Investigaciones Agricolas (INIA)",2,"3"
"Istanbul University, Faculty of Veterinary Medicine",2,"3"
"Keikinzoku Gakkai/Japan Institute of Light Metals",2,"3"
"Osaka University",2,"3"
"Pepperdine University",2,"3"
"Puspa Publishing House",2,"3"
"Seoul National University",2,"3"
"Society of Manufacturing Engineers",2,"3"
"Sphinx Knowledge House",2,"3"
"Synchro Publisher",2,"3"
"Techna Group S.r.l.",2,"3"
"Universidade Do Estado de Santa Catarina",2,"3"
"University of Minnesota Press",2,"3"
"Vasile Goldis Western University of Arad",2,"3"
"Aperture Foundation, Inc.",2,"2"
"Architectural Institute of Japan",2,"2"
"Chines Academy of Sciences",2,"2"
"Chinese Mechanical Engineering Society",2,"2"
"CIM Technical Society",2,"2"
"Columbia Law Review Association",2,"2"
"Dalhousie University Press, Ltd.",2,"2"
"Eagle Hill Foundation",2,"2"
"Fairleigh Dickinson University, Literary Review",2,"2"
"Innovative Journal",2,"2"
"International Association for Dental Research",2,"2"
"International Flame Research Foundation",2,"2"
"Lodz University",2,"2"
"Moreira Junior Editora Ltda.",2,"2"
"National Rehabilitation Association",2,"2"
"Ondokuz Mayis Universitesi",2,"2"
"Pittsburg State University",2,"2"
"Queens University",2,"2"
"Rice University",2,"2"
"Rowman and Littlefield Publishers, Inc.",2,"2"
"San Lucas Medical",2,"2"
"SAS International Publications",2,"2"
"Science Publishers",2,"2"
"Scientific pages",2,"2"
"Sheffield Hallam University",2,"2"
"Societa Italiana di Fisica",2,"2"
"Sucharitha",2,"2"
"Swedish Science Press",2,"2"
"Universidad de Jaen Campus Las Lagunillas",2,"2"
"Universitas Negeri Jakarta",2,"2"
"University of Colombo",2,"2"
"University of Manchester",2,"2"
"U.S. Geological Survey",2,"2"
"Verlag Julius Beltz GmbH",2,"2"
"International Society of Dermatology",1,"11583"
"British Journal of Surgery Society",1,"11156"
"American Laryngological Association (ALA)",1,"9968"
"Press of International Journal of Ophthalmology",1,"9001"
"American Society of Transplant Surgeons",1,"8215"
"CHEST",1,"6798"
"Japanese Dermatological Association",1,"6516"
"National Academy of Sciences",1,"6072"
"eLife",1,"5640"
"Federation of American Societies for Experimental Biology (FASEB)",1,"5606"
"Centre National de la Recherche Scientifique",1,"5252"
"Associação Brasileira de Enfermagem",1,"5093"
"Journal of Gastroenterology and Hepatology Foundation",1,"4580"
"International Society of Paediatric Oncology",1,"4508"
"American Society for Bone and Mineral Research (ASBMR)",1,"4502"
"European Liver and Intestine Transplant Association",1,"4430"
"European Society for Evolutionary Biology",1,"4174"
"European Federation of Periodontology",1,"4061"
"International Society of Cardiovascular Ultrasound",1,"4060"
"American Academy of Otolaryngic Allergy",1,"4052"
"American Association of Blood Banks",1,"3919"
"Union for International Cancer Control",1,"3840"
"International Society of Ultrasound in Obstetrics and Gynecology",1,"3832"
"Japan Pediatric Society",1,"3825"
"American Association for Respiratory Care (AARC)",1,"3789"
"International Society on Thrombosis and Haemostasis",1,"3579"
"International Federation for Artificial Organs (IFAO)",1,"3490"
"Chinese Automatic Control Society",1,"3482"
"Academia Brasileira de Ciências",1,"3444"
"American College of Veterinary Surgeons",1,"3438"
"BJU International Company",1,"3347"
"International Association for the Study of the Liver",1,"3250"
"International Society for Sexual Medicine",1,"3243"
"The American Psychosocial Oncology Society",1,"3229"
"Diabetes UK",1,"3211"
"Association of Coloproctology of Great Britain and Ireland",1,"3119"
"Clinical Endocrinology Trust (CET)",1,"3090"
"Associação Brasileira de Metalurgia, Materiais e Mineração",1,"3011"
"British Endodontic Society",1,"3001"
"American College of Prosthodontists",1,"2976"
"New Phytologist Trust",1,"2972"
"Royal Australasian College of Surgeons",1,"2968"
"Japanese Urological Association",1,"2898"
"Asia Pacific League of Associations for Rheumatology",1,"2875"
"Makerere University Medical School",1,"2813"
"Society of Chemical Industry (SCI)",1,"2793"
"International Society for Prenatal Diagnosis",1,"2784"
"British Small Animal Veterinary Association",1,"2765"
"Escola de Enfermagem, Universidade de São Paulo",1,"2746"
"Orthopaedic Research Society",1,"2731"
"Society for Academic Emergency Medicine (SAEM)",1,"2721"
"Foundation Acta Paediatrica (FAP)",1,"2698"
"British Association of Otolaryngologists and The Oto-Rhino-Laryngology Research Society",1,"2669"
"European Society for Domestic Animal Reproduction",1,"2637"
"Federation of European Neuroscience Societies",1,"2627"
"Zamen Pub",1,"2551"
"Canadian Society for Chemical Engineering",1,"2544"
"International Society for Neurochemistry",1,"2539"
"British Society for Haematology",1,"2470"
"Australasian Hair and Wool Research Society (AHWRS)",1,"2450"
"China Institute of Communication",1,"2443"
"Japanese Geriatrics Society",1,"2408"
"Sociedade Brasileira de Cirurgia Cardiovascular",1,"2395"
"American Society of Dermatopathology",1,"2372"
"American Association of Physicists in Medicine",1,"2343"
"The Korean Society of Radiology",1,"2338"
"JCDR Research and Publications (Pvt) Limited",1,"2319"
"American Academy for Cerebral Palsy and Developmental Medicine",1,"2308"
"European Association for Osseointegration (EAO)",1,"2297"
"MYJoVE Corporation",1,"2285"
"International Society for Apheresis (ISA)",1,"2253"
"Grupo Communicar Ediciones",1,"2208"
"European Federation for Neurological Societies",1,"2202"
"Nordic Federation of Societies of Obstetrics and Gynecology (NFOG)",1,"2198"
"American Geriatrics Society",1,"2192"
"Society for Psychophysiological Research",1,"2173"
"Scandinavian Foundation of Medicine and Sceince in Sports",1,"2139"
"Escola de Enfermagem de Ribeirão Preto, Universidade de São Paulo",1,"2104"
"Heifei Institute of Physical Science",1,"2091"
"Japan Gastroenterological Endoscopy Society",1,"2065"
"British Society for Allergy & Clinical Immunology",1,"2028"
"European Society of Neurogastroenterology and Motility",1,"2022"
"Sociedade Brasileira de Pesquisa Odontológica",1,"2012"
"European Federation of Immunological Societies",1,"2008"
"International Federation of Adipose Therapeutics and Science",1,"1990"
"Asian Pacific Society of Nephrology",1,"1987"
"Fundação Odontológica de Ribeirão Preto",1,"1893"
"Association of Cardiovascular Thoracic Surgeons of Quebec",1,"1891"
"Society for Conservation Biology",1,"1847"
"Scandinavian Society of Anaesthesiology and Intensive Care Medicine",1,"1819"
"Escola de Enfermagem Universidade Federal de São Paulo",1,"1796"
"Society for Biology and Biotechnology",1,"1796"
"Australasian College of Dermatologists",1,"1794"
"Associação Brasileira de Educação Médica",1,"1791"
"Fass Inc.",1,"1790"
"American Headache Society",1,"1774"
"American Institute of Ultrasound in Medicine",1,"1774"
"Taiwan Institute of Chemical Engineers",1,"1773"
"American Society of Andrology & European Academy of Andrology",1,"1757"
"Sociedade Brasileira de Angiologia e de Cirurgia Vascular",1,"1756"
"British Society for Geomorphology",1,"1735"
"Japan Epidemiological Association",1,"1730"
"Faculdade de Medicina",1,"1728"
"Grupo de Pesquisa Metodologias em Ensino e Aprendizagem em Ciências",1,"1723"
"Shanghai Association for Science and Technology",1,"1722"
"National Laboratory for Aeronautics and Astronautics",1,"1719"
"Veterinary Emergency and Critical Care Society",1,"1671"
"Shanghai Association of Integrative Medicine",1,"1668"
"Zarqa University",1,"1668"
"Hemostasis & Thrombosis Research Society (HTRS)",1,"1663"
"Chinese Academy of Agricultural Sciences",1,"1650"
"International Society for Cerebral Blood flow & Metabolism",1,"1644"
"Academia Brasileira de Neurologia",1,"1634"
"International Council for Small Business",1,"1608"
"American College of Veterinary Radiology",1,"1604"
"Instituto de Tecnologia do Paraná",1,"1584"
"The Science and Information (SAI) Organization",1,"1569"
"European Sleep Research Society",1,"1566"
"German Botanical Society",1,"1535"
"European Association of Geoscientists & Engineers",1,"1524"
"Sociedade Brasileira de Fonoaudiologia",1,"1517"
"High Blood Pressure Research Council of Australia",1,"1508"
"Society of Dyers and Colourists",1,"1502"
"Transactions of Nonferrous Metals Society of China",1,"1494"
"American Association of Immunologists",1,"1486"
"Royal Australian and New Zealand College of Radiologists",1,"1481"
"International Association of Oral Pathologists",1,"1476"
"Yale University on behalf of the School of Forestry and Environmental Studies.",1,"1474"
"University Association for Contemporary European Studies",1,"1470"
"British Ornithologists' Union",1,"1468"
"Federação Brasileira das Sociedades de Ginecologia e Obstetrícia",1,"1447"
"Japanese Society of Animal Science",1,"1431"
"Sociedade Brasileira de Urologia",1,"1431"
"Anatomical Society",1,"1420"
"American Association of Physical Anthropologists",1,"1418"
"European Federation For Immunogenetics",1,"1415"
"Chinese Endocrinologist Association",1,"1405"
"British Society of Paediatric Dentistry",1,"1390"
"Association for Tropical Biology and Conservation",1,"1385"
"International Society for Laboratory Haematology (ISLH)",1,"1384"
"Associação Paulista de Medicina",1,"1375"
"Hong Kong Society of Professional Optometrists",1,"1369"
"Fundação Otorrinolaringologia",1,"1367"
"International Solid Waste Association",1,"1366"
"The Asia Pacific Orthopaedic Association",1,"1343"
"European Society for Cosmetic and Aesthetic Dermatology",1,"1339"
"Asia and Oceania Federation of Obstetrics and Gynaecology",1,"1334"
"American College of Clinical Pharmacy (ACCP)",1,"1329"
"Asian Pacific Society of Respirology",1,"1327"
"The Council on Tall Buildings and Urban Habitat",1,"1321"
"Scandinavian Society for Plant Physiology",1,"1315"
"Faculdade de Odontologia de Bauru",1,"1310"
"East African Wild Life Society",1,"1307"
"Society for Research on Adolescence",1,"1305"
"British Dietetic Association",1,"1298"
"American Association of Equine Practitioners",1,"1295"
"Associação Brasileira de Divulgação Científica",1,"1289"
"American College of Veterinary Ophthalmologists",1,"1284"
"Biophysical Society",1,"1278"
"Transplantation Society",1,"1273"
"Nordic College of Caring Science",1,"1249"
"Australian College of Mental Health Nurses Inc.",1,"1247"
"Institute of Food, Science and Technology (IFSTTF)",1,"1246"
"National Association for Research in Science Teaching",1,"1245"
"Turkish Society of Gastroenterology",1,"1231"
"Society for Ecological Restoration",1,"1230"
"Bio-protocol LLC",1,"1228"
"Sociedade Brasileira de Zootecnia",1,"1212"
"Deutsche Dermatologische Gesellschaft",1,"1204"
"Royal Australian and New Zealand College of Obstetricians and Gynaecologists",1,"1198"
"Massachussetts Medical Society",1,"1193"
"Dental Press International",1,"1171"
"American Academy of Veterinary Pharmacology and Therapeutics",1,"1165"
"Colégio Brasileiro de Parasitologia Veterinária",1,"1162"
"European Cell Proliferation Society",1,"1151"
"International Society for Pediatric and Adolescent Diabetes",1,"1140"
"Phycological Society of America",1,"1135"
"Instituto de Estudos em Saúde Coletiva, Universidade Federal do Rio de Janeiro",1,"1106"
"International Federation of Cell Biology",1,"1105"
"Australian Dental Association",1,"1103"
"AlphaMed Press",1,"1100"
"Society for the Study of Evolution",1,"1099"
"Wound Healing Society",1,"1098"
"Australian Council on the Ageing",1,"1096"
"WILD Society",1,"1091"
"Instituto de Medicina Tropical",1,"1069"
"Korea Society of Internet Information",1,"1055"
"British Society for Clinical Cytology (BSCC)",1,"1052"
"American Society for Photobiology",1,"1049"
"Association for Information Science and Technology",1,"1037"
"British Division of the International Academy of Pathology",1,"1030"
"American Society for Reproductive Immunology  (ASRI)",1,"1017"
"Scandinavian Division of the International Association for Dental Research",1,"1007"
"Scandanavian Society of Immunology (SSI)",1,"1005"
"Association for Dental Education in Europe",1,"1002"
"Deutschsprachige Mykologische Gesellschaft",1,"998"
"International Union of Psychological Science",1,"992"
"Dietitians Association of Australia",1,"989"
"International Council of Nurses",1,"983"
"The Executive Committee of IJMS",1,"981"
"The American Society for Clinical Investigation",1,"970"
"Accounting and Finance Association of Australia and New Zealand",1,"968"
"American Association of Clinical Anatomists",1,"967"
"Australian Association of Occupational Therapists Inc.",1,"965"
"Brazilian Society of Mechanical Sciences and Engineering",1,"961"
"Federation of European Physiological Societies",1,"961"
"Associação Médica Brasileira",1,"955"
"European Society of Contact Dermatology (ESCD)",1,"951"
"British Society of Gerodontology",1,"941"
"International Biometric Society",1,"941"
"Curtin University",1,"939"
"Instituto Materno Infantil de Pernambuco",1,"937"
"International Federation of Dental Hygienists",1,"937"
"International Society for Traumatic Stress Studies",1,"935"
"Fisheries Society of the British Isles",1,"933"
"The International Federation of Gynecology and Obstetrics",1,"926"
"Pathological Society",1,"924"
"International Society of Indoor Air Quality and Climate",1,"921"
"American Cleft Palate-Craniofacial Association",1,"920"
"Japanese Society of Pathology",1,"919"
"European Society of Veterinary Dermatology",1,"918"
"THE Australasian Medical Publishing Company Pty Ltd (AMPCo)",1,"917"
"Association of Support to Oral Health Research (APESB)",1,"912"
"International Association for Dental Traumatology",1,"910"
"American Society of Tropical Medicine and Hygiene",1,"907"
"Medycyna Praktyczna",1,"905"
"Sociedade de Pediatria de São Paulo",1,"904"
"American Society for Veterinary Clinical Pathology",1,"900"
"Company of the International Journal of  Experimental Pathology (CIJEP)",1,"897"
"North Carolina University",1,"896"
"World Institute of Pain",1,"895"
"British Society for Neuroendocrinology",1,"893"
"Shanghai University of Sport",1,"893"
"Australasian Professional Society on Alcohol and other Drugs",1,"886"
"Fundação APINCO de Ciência e Tecnologia Avícolas",1,"886"
"Korean Society of Civil Engineers",1,"878"
"American Association of Public Health Dentistry",1,"868"
"Acta Ophthalmologica Scandinavica Foundation",1,"867"
"Institute of Soil Science",1,"866"
"International Association of Sedimentologists",1,"863"
"Multi Science Publishing",1,"863"
"Sociedade Brasileira de Genética",1,"860"
"Ghana Medical Association",1,"858"
"American Roentgen Ray Society",1,"857"
"Associação Brasileira de Engenharia Santitária e Ambiental",1,"857"
"International Headache Society",1,"849"
"Midwest Political Science Association",1,"847"
"Faculty of Medicine and Health Sciences, University Putra Malaysia",1,"846"
"Instituto Brasileiro de Estudos e Pesquisas de Gastroenterologia e Outras Especialidades - IBEPEGE",1,"843"
"Australasian College for Emergency Medicine",1,"836"
"Scandanavian Psychological Associations",1,"836"
"Iranian Red Crescent Society",1,"834"
"International Association of the Scientific Study of Intellectual Disibilities",1,"833"
"American Public Health Association Inc.",1,"830"
"Australian Veterinary Association",1,"830"
"European Weed Research Society",1,"828"
"Associação Brasileira de Psiquiatria",1,"827"
"Colégio Brasileiro de Patologia Animal, Empresa Brasileira de Pesquisa Agropecuária",1,"824"
"Society for Marine Mammalogy",1,"822"
"European Society for Clinical Investigation",1,"821"
"Academia Brasileira de Audiologia",1,"817"
"Instituto de Pesquisas Jardim Botânico do Rio de Janeiro",1,"815"
"Sociedade Brasileira de Ciência e Tecnologia de Alimentos",1,"815"
"Japanese Societies for Bacteriology/Virology/Host-Defence Research",1,"806"
"Associação de Medicina Intensiva Brasileira",1,"805"
"Programa de Pós Graduação em Enfermagem, Universidade Federal de Santa Catarina",1,"803"
"Brazilian Society of Plant Breeding",1,"797"
"Escola de Enfermagem, Universidade Federal do Rio Grande do Sul",1,"795"
"British Association of Oral Surgeons",1,"792"
"Instituto de Tecnologia de Alimentos",1,"792"
"Programa de Pós-Graduação em Educação Matemática, Universidade Estadual Paulista",1,"790"
"Instituto Virtual da Biodiversidade, Programa Biota/FAPESP",1,"782"
"Sociedade Brasileira de Física",1,"779"
"Clinical Oncology Society of Australia (COSA)",1,"775"
"Malaysian Orthopaedic Association",1,"775"
"Asia Endosurgery Task Force",1,"769"
"Museo Nacional de Ciencias Naturales (Consejo Superior de Investigaciones Cientificas, Spain) and National Environmental Research Institute (NERI), Denmark",1,"768"
"International Society for Bipolar Disorders (ISBD)",1,"763"
"Ferrata Storti Foundation",1,"750"
"American Academy of Esthetic Dentistry",1,"749"
"Shanghai Institute of Applied Physics, Chinese Academy of Sciences",1,"748"
"Instituto Internacional de Ecologia",1,"745"
"European Association for Creativity and Innovation",1,"744"
"Sociedade Botânica do Brasil",1,"742"
"Sociedade Brasileira de Ictiologia",1,"739"
"Veterinary World",1,"738"
"University of Mosul - College of Veterinary Medicine",1,"736"
