"Publishers","Journals"
"American Society of Hematology",3
"American Society for Nutrition",3
"American Society for Biochemistry and Molecular Biology",3
"American Schools of Oriental Research (ASOR)",3
"American Political Science Association",3
"American Orthopaedic Society for Sports Medicine (AOSSM)",3
"American Nuclear Society",3
"American Concrete Institute",3
"American College of Professional Neuropsychology",3
"American College of Cardiology",3
"American Ceramic Society",3
"American Catholic Philosophical Association",3
"American Cancer Society",3
"American Association on Intellectual and Developmental Disabilities",3
"American Association of Critical Care Nurses",3
"American Association for the Study of Liver Diseases",3
"American Association for Thoracic Surgery",3
"American Association for Adult and Continuing Education",3
"American Academy of Pediatrics",3
"Agricultural and Applied Economics Association",3
"Acta Materialia",3
"Academy of Science of South Africa",3
"Academy of Marketing",3
"ARLIS/NA",3
"AP2",3
"Stefan cel Mare University of Suceava",2
"Ziauddin University",2
"Zavod za povijesne znanosti u Dubrovniku",2
"Zagazig University",2
"York University Libraries",2
"World Bank",2
"Widmaier Verlag",2
"Wichmann Verlag",2
"Western University",2
"West University of Timisoara",2
"W. Szafer Institute of Botany",2
"Vytautas Magnus University",2
"Vilnius University",2
"Veterinary World",2
"VSB-Technical University of Ostrava",2
"VLDB Endowment",2
"VINCA Institute of Nuclear Sciences",2
"Uniwersytet Ekonomiczny w Krakowie",2
"Université de Liège",2
"University of Tennessee",2
"University of St Andrews",2
"University of Southern California",2
"University of South Bohemia Ceské Budejovice",2
"University of New Mexico",2
"University of New Brunswick",2
"University of Münster",2
"University of Medicine and Pharmacy of Târgu Mures",2
"University of Manchester",2
"University of Kurdistan Hewlêr",2
"University of Kansas",2
"University of Hawaii",2
"University of Georgia",2
"University of Bucharest",2
"University of Birmingham",2
"University of Banja Luka",2
"University College London",2
"Universiteit Antwerpen",2
"Universitas-Gyor Nonprofit",2
"Universitas Padjadjaran",2
"Universitas Nusa Cendana",2
"Universitas Muhammadiyah Metro",2
"Universitas Majalengka",2
"Universitas Brawijaya",2
"Universidade dos Açores",2
"Universidade Federal do Rio Grande do Sul",2
"Universidade Federal do Pará",2
"Universidade Federal Fluminense",2
"Universidad de las Ciencias Informaticas",2
"Universidad de la Amazonia",2
"Universidad de Santander",2
"Universidad de Málaga",2
"Universidad de Montevideo",2
"Universidad de La Serena",2
"Universidad de Buenos Aires",2
"Universidad Tecnológica de El Salvador",2
"Universidad Rey Juan Carlos",2
"Universidad Nacional del Comahue",2
"Universidad Miguel Hernández",2
"Universidad Central del Ecuador",2
"Universidad Anáhuac México",2
"United Kingdom Serials Group",2
"USC Annenberg Press",2
"UK EPC",2
"UIKTEN",2
"Triological Society",2
"The University of Queensland",2
"The University of North Carolina Press",2
"The Physiological Society",2
"Texas Medical Center Library",2
"Teerthanker Mahaveer University",2
"Technical University of Košice",2
"Technical Faculty, Bor",2
"TU Wien",2
"TMKarpinski Publisher",2
"TIB Open Publishing",2
"TESOL",2
"Syddansk Universitetsforlag",2
"Swedish Society of Radiology",2
"Svimez-Associzione per lo sviluppo dell'industria nel Mezzogiorno",2
"Sveucilište u Splitu",2
"Suomen kasvatuksen ja koulutuksen historian seura",2
"Suomen Uskontotieteellinen Seura ry",2
"Suomen Radiologiyhdistys",2
"Suomen Maantieteellinen Seura",2
"Suomen Filosofinen Yhdistys",2
"Sumathi Publications",2
"Springer Netherlands",2
"Special Group in Coaching Psychology",2
"Sosiaali- ja terveydenhuollon tietojenkäsittely-yhdistys ry",2
"Society of Environmental Toxicology and Chemistry Press (SETAC)",2
"Society for Reproduction and Fertility",2
"Society for Renaissance Studies",2
"Society for Range Management",2
"Society for Publication of Acta Dermato-Venereologica",2
"Society for Neuroscience",2
"Society for Integrative and Comparative Biology",2
"Society for French Studies",2
"Society for Experimental Mechanics (SEM)",2
"Sociedade Portuguesa de Pneumologia",2
"Sociedad Española de Cardiología",2
"Shared Science Publishers",2
"Shanghai University",2
"Servicio Geológico Colombiano",2
"Scientific Planet Society",2
"ScienceOpen",2
"School of Oriental and African Studies",2
"School of Law",2
"Sapienza University of Rome",2
"Sancang Press",2
"SEPM",2
"SCI",2
"SAI Organization",2
"Royal Society of Edinburgh",2
"Royal Society of Biology",2
"Royal Society for Public Health",2
"Royal Historical Society",2
"Royal College of Radiologists",2
"Royal College of Obstetricians and Gynaecologists",2
"Royal Botanic Garden Edinburgh",2
"Royal Australian and New Zealand College of Psychiatrists (RANZCP)",2
"Rowan University Libraries",2
"Rosenberg and Sellier",2
"Revista de Chimie",2
"Representation of Azerbaijan International Diaspora Centre in Georgia",2
"Regional Science Association International",2
"Redshine Publication",2
"Publishing house ""Sreda""",2
"Psychology of Education Section",2
"Presses universitaires de Rennes",2
"Poultry Science Association",2
"Portfolio Management Research",2
"Politechnika Slaska",2
"Polish Academy of Arts and Sciences",2
"Plekhanov Russian University of Economics",2
"Physicians Postgraduate Press",2
"Physical Society of Japan",2
"Philosophy of Science Association",2
"Pensa MultiMedia",2
"Peeters Publishers",2
"PeerJ",2
"Pathological Society of Great Britain and Ireland",2
"Paleontological Society",2
"Pacific Group of e-Journals",2
"POL Scientific",2
"P4M STIE Putra Bangsa Kebumen",2
"Oñati International Institute for the Sociology of Law Foundation",2
"Oxford Brookes University",2
"Organization of Pharmaceutical Unity with BioAllied Sciences",2
"Open Academia",2
"Oncology Nursing Society",2
"North American Spine Society",2
"Nordicom",2
"Nordic Society of Medical Radiology",2
"Nonferrous Metals Society of China",2
"Nihon Bunseki Kagakkai",2
"New Century Health Publishers, LLC",2
"National Taiwan University",2
"Nanjing Agricultural University",2
"Museu de Zoologia",2
"Molecular Psychiatry Association",2
"Missouri Botanical Garden Press",2
"Mineralogical Society",2
"Minda de Gunzburg Center for European Studies",2
"Microwave Theory and Techniques Society",2
"Micropaleontology Press",2
"Meteoritical Society",2
"Medical Library Association",2
"McMaster University Library Press",2
"Massachusetts Medical Society",2
"Mary Lou Fulton Teachers College",2
"Marine Biological Association of the United Kingdom",2
"Margherita-von-Brentano-Zentrum",2
"Maheswari Publishers",2
"MGTU im. N.È. Baumana",2
"MATIS Translation Services",2
"M3 Center",2
"London Business School",2
"Les Presses de l'Ifpo",2
"Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Riau",2
"Law School",2
"LAR Centre Press",2
"Korea Basic Science Institute",2
"Klinicki bolnicki centar Sestre milosrdnice",2
"Julius Kühn-Institut - Bundesforschungsinstitut für Kulturpflanzen (Federal Research Centre for Cultivated Plants)",2
"Japanese Society of Microscopy",2
"Japan Surgical Society",2
"Japan Society of Applied Physics",2
"James Cook University",2
"Ital Publication",2
"Intersentia",2
"International Union Against Tuberculosis and Lung Disease",2
"International Studies Association",2
"International Society for Mycotoxicology",2
"International Society for Environmental Information Sciences (ISEIS)",2
"International Hellenic University",2
"International Glaciological Society",2
"International Association of Physical Chemists",2
"International Association for Food Protection",2
"International Association for Energy Economics",2
"Instytut Medycyny Pracy im. prof J. Nofera",2
"Instituto de investigación de recursos Biológicos Alexander von Humboldt",2
"Instituto de Literatura Comparada Margarida Losa (ILC)",2
"Instituto Politécnico do Porto",2
"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",2
"Instituto Brasileiro de Estudos e Pesquisas Sociais",2
"Institute of Czech Literature",2
"Institute and Faculty of Actuaries",2
"Institute Henri Poincaré",2
"Institut für Stadt- und Regionalplanung",2
"Institut für Informationssysteme und Computer Medien",2
"Institut des Hautes Etudes de l'Amérique Latine",2
"Institut Veolia Environnement",2
"Institut Mittag-Leffler",2
"Institución Milà y Fontanals",2
"Innovative Research Publications",2
"Ilia State University",2
"ISNet",2
"IP Iermakov SS",2
"IEEE Canada",2
"ICRS",2
"Hungarian Central Statistical Office",2
"Hrvatski lijecnicki zbor",2
"Herpetologists League",2
"Helvetic Editions",2
"Hebrew University Magnes Press",2
"Grupo de Investigación ""Innovación Curricular en Contextos Multiculturales""",2
"Gesellschaft Deutscher Chemiker",2
"German Cardiac Society",2
"Genetics Society of America",2
"General Directorate of Mineral Research and Exploration",2
"Gallaudet University Press",2
"French Society of Cardiology",2
"French Academy of Sciences",2
"Foundation Compositio Mathematica",2
"Finnish Zoological and Botanical Publishing Board",2
"Filozofski fakultet",2
"FiT Publishing",2
"Federation of Animal Science Societies",2
"Faculty of Sciences",2
"Faculty of Philosophy",2
"Faculty of Mechanical Engineering",2
"Faculty of Law",2
"Faculty of Law",2
"Faculty of Law",2
"Faculty of Engineering",2
"Faculty of Economics in Subotica",2
"Faculty of Economics",2
"Faculteit Bouwkunde",2
"Facultad de Ciencias Médicas",2
"Facultad de Ingenierías Fisicomecánicas",2
"Facultad de Ingeniería",2
"Facultad de Humanidades",2
"Facultad de Ciencias Económicas",2
"Faculdade de Educação e Psicologia",2
"FUNORTE",2
"Excerpta Medica",2
"Evangelical Theological College",2
"European Society for Medical Oncology",2
"European Health Management Association",2
"European Federation of Food Science and Technology",2
"European Association of Geoscientists and Engineers (EAGE)",2
"European Association for Cardio-Thoracic Surgery",2
"European Acoustics Association",2
"European Academy of Allergy and Clinical Immunology",2
"Escola Superior de Gestão, Hotelaria e Turismo",2
"Ergon Verlag",2
"Episteme Health",2
"Eisenbrauns",2
"Edições Universitárias Lusófonas",2
"Editura Academiei Romane",2
"Editorial Universidad de Almería",2
"Editorial Internacional ERUDITUS",2
"Ecole des Hautes Etudes en Sciences Sociales",2
"Early Theatre",2
"EPI SCP",2
"EL-MED-Pub Publishers",2
"E-NAMTILA",2
"Dubai Health Authority",2
"Dire Dawa University",2
"Dipartimento di Scienze per la Qualità della Vita",2
"Dipartimento di Scienze Politiche e Sociali",2
"Dipartimento di Scienze Agrarie",2
"Dipartimento di Beni Culturali",2
"Dipartimento di Architettura",2
"Dickinson College",2
"Developmental Psychology Section",2
"Deutsche Gesellschaft für Psychologie (DGPs) zugleich Organ der Fachgruppe Klinische Psychologie und Psychotherapie in der Deutschen Gesellschaft für Psychologie (DGPs)",2
"Department of Emergency Medicine",2
"Departamento de Línguas e Culturas",2
"Departamento de Administração",2
"Debreceni Egyetemi Kiadó",2
"Debrecen University Press",2
"Dansk Radiologisk Selskab",2
"Croatian Society of Chemical Engineers",2
"Coventry University",2
"Council for British Research in the Levant",2
"Corporation des bibliothécaires professionnels du Québec",2
"Control Systems Society",2
"Compuscript",2
"Comenius University",2
"Collegium Basilea",2
"College of Health and Human Sciences",2
"College of Family Physicians of Canada (CFPC)",2
"College Art Association",2
"ColNes Publishing",2
"Cochrane Collaboration",2
"Circuits and Systems Society",2
"Cimmeria Publishing",2
"Chinese Medical Association",2
"China University of Geosciences (Beijing)",2
"China Coal Society",2
"China Association for Management of Techonology",2
"Centro di ricerche storiche Rovigno",2
"Centro de Investigaciones ""María Saleme de Burnichón""",2
"Centro de Estudos Interdisciplinares do Século XX",2
"Centro Universitario Campo Limpo Paulista",2
"Centre for Strategic and International Entrepreneurship",2
"Centre for Crime and Justice Studies",2
"Centre de Recherche et de Documentation sur les Amériques",2
"Centre Michel de Boüard",2
"Center for Promoting Education and Research",2
"Cappadocia University",2
"Canadian Mathematical Society",2
"Canadian Academic Accounting Association",2
"Campus di Rimini",2
"Cambridge Philosophical Society",2
"CRIFPE",2
"CONICET, Centro de Investigaciones y Estudios sobre Cultura y Sociedad (CIECS)",2
"CIRAD",2
"British Society of Soil Science",2
"British Society of Gastroenterology (BSG)",2
"British Society for the History of Mathematics (BSHM)",2
"British Society for Surgery of the Hand",2
"British Society for Plant Pathology",2
"British Society for Immunology",2
"British Library",2
"British Journal of Surgery Society",2
"British International Studies Association",2
"British Institute in Eastern Africa",2
"British Educational Research Association (BERA)",2
"British Educational Leadership, Management and Admin Society",2
"British Dental Association",2
"British Association of Social Workers",2
"British Association for Psychopharmacology",2
"British Association for Behavioural and Cognitive Psychotherapies",2
"British Academy of Management",2
"British Academy",2
"Botanical Society of the British Isles",2
"Botanical Society of China",2
"Bogor Agricultural University",2
"Biology Department",2
"Biblijski Institut",2
"Betasciencepress Publishing",2
"Beilstein-Institut",2
"Beihang University",2
"Barnard Press",2
"BAPIO Publications",2
"Australian Library and Information Association",2
"Associação Portuguesa dos Recursos Hídricos (APRH)",2
"Associazione Economia civile",2
"Association of Environmental and Resource Economists",2
"Association of Anaesthetists of Great Britain and Ireland",2
"Association of American Geographers (AAG)",2
"Association for the Advancement of Artificial Intelligence",2
"Association for Physical Education",2
"Association for Information Science and Technology (ASIS&T)",2
"Asociación Española de Contabilidad y Administración de Empresas",2
"Aristotelian Society",2
"Applied Probability Trust",2
"Aperio",2
"Ant Publishing Corporation",2
"Anatomical Society of Great Britain and Ireland",2
"American Veterinary Medical Association",2
"American Society of Nephrology",2
"American Society of Mammalogists",2
"American Society of Ichthyologists and Herpetologists",2
"American Society of Criminology",2
"American Society of Animal Science",2
"American Society for Quality",2
"American Society for Clinical Investigation",2
"American Society for Cell Biology",2
"American Society for Bone and Mineral Research",2
"American Shoulder and Elbow Surgeons",2
"American Public Health Association",2
"American Physical Therapy Association (APTA)",2
"American Institute of Biological Sciences",2
"American Federation for Medical Research (AFMR)",2
"American Dairy Science Association",2
"American College of Rheumatology",2
"American College of Gastroenterology",2
"American College of Clinical Pharmacology",2
"American Association of Physics Teachers",2
"American Association of Physicists in Medicine",2
"American Association of Petroleum Geologists",2
"American Association of Immunologists",2
"American Association of Diabetes Educators (AADE)",2
"American Association of Anatomy",2
"American Association for Public Opinion Research",2
"American Academy of Pediatric Dentistry",2
"American Academy of Nursing",2
"American Academy of Business",2
"American Academy of Advertising",2
"Akademie ved Ceské republiky, Matematický ústav",2
"Ain Shams University",2
"Aerospace Information Research Institute",2
"Accademia Peloritana dei Pericolanti",2
"Academy of Mathematics and Systems Science",2
"Academy of Criminal Justice Sciences",2
"AcademicPres",2
"Aarhus Universitet",2
"AOTrauma",2
"ANPAD",2
"ALTEX Edition",2
"ACCENTS",2
"“Ion Ionescu de la Brad” Iasi University of Life Sciences",1
"Ceská pedagogická spolecnost",1
"Österreichisches Religionspädagogisches Forum",1
"Österreichischen Gesellschaft für Soziologie",1
"Österreichischen Gesellschaft für Psychiatrie und Psychotherapie",1
"Österreichischen Gesellschaft für Politikwissenschaft",1
"Österreichischen Bundesverband für Psychotherapie",1
"Österreichische Pharmazeutische Gesellschaft",1
"Österreichische Gesellschaft für Zahn-, Mund- und Kieferheilkunde (Austrian Society of Dentistry)",1
"Österreichische Gesellschaft für Mund-, Kiefer- und Gesichtschirurgie",1
"Österreichische Gesellschaft für Humangenetik (ÖGH)",1
"Österreichische Gesellschaft für Geomechanik",1
"Österreichische Akademie der Wissenschaften",1
"Électricité de France",1
"Éditions Kimé",1
"École polytechnique",1
"Állatrendszertani és Ökológiai Tanszék",1
"Zwitscher-Maschine",1
"Ziane Achour University of Djelfa",1
"Zhengzhou University",1
"Zaporiz'kyi Natsional'nyi Tekhnichnyi Universytet",1
"Zakladu Badania Ssaków",1
"ZBW - Leibniz Information Centre for Economics",1
"Yorkshire Geological Society",1
"Yorkshire Archaeological & Historical Society",1
"Yayasan Lentera Dua Indonesia",1
"Yale University",1
"Yale Center for British Art",1
"Wyzsza Szkola Finansów i Prawa w Bielsku-Bialej",1
"Wydzial Studiów Miedzynarodowych i Politologicznych",1
"Wydawnictwo Naukowe Uniwersytetu Pedagogicznego",1
"Wydawnictwo Naukowe DSW",1
"World Scientific Congress of Golf",1
"World Allergy Organization",1
"World Academy of Art and Science, South-East European Division (SEED-WAAS)",1
"Wood Technology Society",1
"Witold Stefanski Institute of Parasitology",1
"Wildlife Disease Association",1
"Whitehouse Publishing (UK)",1
"Western Regional Science Association",1
"Western Mindanao State University",1
"Western Law JD students",1
"Western Caspian University",1
"Western Australian Institutes for Educational Research",1
"Western Agricultural Economics Association",1
"Westcliff University",1
"West Bengal Veterinary Alumni Association",1
"Wesleyan University",1
"Weissberg",1
"Wayne State University Libraries",1
"Wayne State University",1
"Washington University in St Louis",1
"Warburg Institute",1
"Waakebiness-Bryce Institute for Indigenous Health",1
"WINHEC",1
"WFL Publisher",1
"Vostoksibakademtsentr",1
"Voronezh state university of engineering technologies",1
"Volcanica",1
"VirtuHab Research Group",1
"Villanova University",1
"Vicino Oriente",1
"Via Medica",1
"Vernacular Architecture Group",1
"Verlag Karl Alber",1
"Verlag Holzhausen (Holzhausen Scientific Publishing)",1
"Vereinigung Österreichischer Bibliothekarinnen und Bibliothekare",1
"Verein zur Förderung des Open Access Publizierens in den Quantenwissenschaften",1
"Verein sui generis",1
"Verein Informationspraxis",1
"Verein Deutscher Ingenieure - Gesellschaft Verfahrenstechnik und Chemieingenierurwesen (VDI-GVC)",1
"Venäjän ja Itä-Euroopan tutkimuksen seura ry",1
"Vasyl' Stus Donetsk National University",1
"Vasile Alecsandri University of Bacau",1
"Varepsilon",1
"Valtiotieteellinen yhdistys (Finnish Political Science Association)",1
"Valparaiso University",1
"Valahia University",1
"VV Dokuchaev Soil Science Institute",1
"VTeX",1
"V.M. Gorbatov All-Russian Meat Research Institute",1
"V. A. Negovsky Research Institute of General Reanimatology",1
"ubiJournal",1
"Utrecht University School of Law",1
"Utah State University",1
"Uppsala University",1
"Univerzitet Crne Gore",1
"Univerza v Mariboru",1
"Université de Tunis El Manar, Institut Supérieur des Sciences Humaines de Tunis",1
"Université de Neuchâtel",1
"Université de Limoges",1
"Université de Bretagne Occidentale",1
"Université TÉLUQ",1
"Université Paris Ouest Nanterre La Défense",1
"Université Laval",1
"Université Jean Moulin - Lyon 3",1
"Universitätsverlag der Technischen Universität Chemnitz",1
"Universitätsverlag Göttingen (Goettingen University Press)",1
"Universitäts- und Landesbibliothek Darmstadt",1
"Universität des Saarlandes",1
"Universität Konstanz",1
"Università degli Studi di Cassino e del Lazio Meridionale",1
"University of the Western Cape",1
"University of Zilna",1
"University of West London",1
"University of Victoria Libraries",1
"University of Tokyo",1
"University of Tennessee, Libraries",1
"University of Tabriz",1
"University of Szeged Faculty of Engineering",1
"University of St. Augustine for Health Sciences Library",1
"University of St Gallen",1
"University of Social Sciences",1
"University of Social Science in Lodz",1
"University of Sebha",1
"University of Saskatchewan",1
"University of Regina",1
"University of Queensland Press",1
"University of Piraeus",1
"University of Ostrava",1
"University of Mostar",1
"University of Modena and Reggio Emilia",1
"University of Minnesota Libraries Publishing",1
"University of Minnesota",1
"University of Michigan",1
"University of Latvia",1
"University of Kwazulu-Natal",1
"University of Kurdistan",1
"University of Kentucky",1
"University of Kent",1
"University of Groningen Press",1
"University of Electronic Science and Technology of China",1
"University of Economics and Human Sciences in Warsaw",1
"University of Economics Ho Chi Minh City",1
"University of Duisburg-Essen",1
"University of Denver",1
"University of Defense in Belgrade",1
"University of Debrecen Faculty of Agricultural and Food Sciences and Environmental Management",1
"University of Criminal Investigation and Police Studies",1
"University of Central Lancashire",1
"University of Calgary Press",1
"University of British Columbia, Okanagan",1
"University of Bradford",1
"University of Boumerdes",1
"University of Borås",1
"University of Birmingham Library Services",1
"University of Bath",1
"University of Bamberg Press",1
"University of August 20, 1955 skikda algerie",1
"University of Arkansas Press",1
"University of Argibusiness and Rural Development",1
"University of Al-Qadisiyah, College of Engineering",1
"University of Adelaide",1
"University of Aberdeen",1
"University School of Physical Education in Wroclaw",1
"University North",1
"University Library Heidelberg",1
"University Film and Video Association",1
"University Constantin Brancusi of Targu-Jiu",1
"University College Cork",1
"University Business Academy",1
"Universities Federation for Animal Welfare (UFAW)",1
"Universiti Sains Islam Malaysia",1
"Universitetsbiblioteket",1
"Universitets-Jubilæets danske Samfund",1
"Universitetet i Nordland",1
"Universitetet i Agder",1
"Universiteta Mateya Bela",1
"Universitatea din Craiova",1
"Universitatea de Arhitectura <U+0219>i Urbanism Ion Mincu",1
"Universitatea Pedagogica de Stat ION CREANGA din Chi<U+0219>inau",1
"Universitatea Babes-Bolyai",1
"Universitat de Vic",1
"Universitat Oberta de Catalunya",1
"Universitas Sultan Ageng Tirtayasa",1
"Universitas Sriwijaya",1
"Universitas Sam Ratulangi",1
"Universitas Pembangunan Nasional Veteran Yogyakarta",1
"Universitas Pahlawan",1
"Universitas Jember",1
"Universitas Islam Negeri, Sunan Gunung Djati Bandung",1
"Universitas Gadjah Mada",1
"Universitas Airlangga",1
"Universidade Óscar Ribas",1
"Universidade do Estado da Bahia",1
"Universidade Nova de Lisboa",1
"Universidade Lusófona de Humanidades e Tecnologias",1
"Universidade Federal do Tocantins",1
"Universidade Federal do Rio de Janeiro",1
"Universidade Federal do Recôncavo da Bahia",1
"Universidade Federal do Ceará",1
"Universidade Federal de Viçosa",1
"Universidade Federal de Uberlândia",1
"Universidade Federal de Roraima",1
"Universidade Federal de Mato Grosso",1
"Universidade Federal de Campina Grande",1
"Universidade Estadual do Ceará",1
"Universidade Estadual de Feira de Santana",1
"Universidade Autónoma de Lisboa",1
"Universidade Aberta",1
"Universidad, Ciencia y Tecnología",1
"Universidad del Atlántico",1
"Universidad de Puerto Rico",1
"Universidad de Pamploma",1
"Universidad de Manizales",1
"Universidad de Magallanes",1
"Universidad de Las Tunas",1
"Universidad de Huelva",1
"Universidad de Guayaquil",1
"Universidad de Cuenca",1
"Universidad de Castilla-La Mancha",1
"Universidad de Cantabria",1
"Universidad San Francisco de Quito",1
"Universidad Pontificia Bolivariana",1
"Universidad Peruana Unión",1
"Universidad Panamericana",1
"Universidad Pablo de Olavide",1
"Universidad Nacional del Litoral",1
"Universidad Nacional del Altiplano de Puno",1
"Universidad Nacional de la Patagonia Austral",1
"Universidad Nacional de Mar del Plata",1
"Universidad Nacional de Luján",1
"Universidad Nacional de Lanús",1
"Universidad Nacional de Educación a Distancia (UNED)",1
"Universidad Nacional de Cuyo",1
"Universidad Nacional de Colombia, Facultad de Minas",1
"Universidad Nacional Jorge Basadre Grohmann",1
"Universidad Nacional Autónoma de Nicaragua, León",1
"Universidad Loyola",1
"Universidad Libre",1
"Universidad La Salle",1
"Universidad Francisco de Paula Santander",1
"Universidad Finis Terrae",1
"Universidad Del Quindío",1
"Universidad Central Marta Abreu de Las Villas",1
"Universidad Católica de Valencia San Vicente Mártir",1
"Universidad Católica San Pablo",1
"Universidad Bernardo O'Higgins",1
"Universidad Autónoma de Nayarit",1
"Universidad Autónoma de Ciudad Juárez",1
"Universidad Austral",1
"Universidad Anáhuac del Sur",1
"Universidad Abierta Interamericana",1
"Universal Journal of Pharmaceutical Research",1
"Unità di Ricerca per la Maisicoltura",1
"United States Holocaust Memorial Museum",1
"Unique Publisher House",1
"Union of Textile Engineers and Technicians of Serbia",1
"Union of Engineers and Technicians of Serbia",1
"Unidade Acadêmica de Ciências Exatas e da Natureza",1
"Unidade de Investigação em Ciências da Saúde - Enfermagem da Escola Superior de Enfermagem de Coimbra",1
"UniBrasil",1
"Ulumuddin: Jurnal Ilmu-ilmu Keislaman",1
"Ulster Society for Irish Historical Studies",1
"Ulster Medical Society",1
"Ukrainian Research and Academic Network (URAN)",1
"Udruga za promicanje cjelovitog pristupa okolišu; Association for Promotion of Holistic Approach to Environment",1
"UMinho Editora",1
"UMR LAVUE 7218",1
"UMF Gr. T Popa Iasi Publishing House",1
"UK and Irish Association for Practical Theology",1
"UCOPress",1
"UACES",1
"U.R.S.I. Landesausschuss in Deutschland",1
"Tip Fakültesi",1
"Türk Egitim Dernegi",1
"Távol-keleti Intézetének",1
"Tájvédelmi és Környezetföldrajzi Tanszék - Meteorológiai Tanszék",1
"Työelämän tutkimusyhdistys ry",1
"Tyumenskii Yuridicheskii Institut",1
"Tutkijaliitto ry",1
"Turkish Federation of Pathology Societies",1
"Turkish Capital Markets Association",1
"Turizm Fakültesi",1
"Turismo e Artes, Programa de Pós-Graduação em Jornalismo",1
"Tulsa Studies in Women's Literature",1
"Tulevaisuuden tutkimuksen seura ry (Finnish Society for Futures Studies)",1
"TripleC",1
"Tripal Publishing House",1
"Tribunal de Justiça do Distrito Federal e dos Territórios",1
"Tribhuvan University Central Library",1
"Transpersonal Psychology Section",1
"Towarzystwo Pomocy Doraznej",1
"Tobacco Control and Public Health in Eastern Europe",1
"Tissue and Cell Engineering Society (TCES)",1
"Tirant lo Blanch",1
"The Zoryan Institute",1
"The University of Toledo Press",1
"The University of Oklahoma",1
"The Strong - National Museum of Play",1
"The Sonia and Marco Nadler Institute of Archaeology",1
"The Rustam Model School and College",1
"The Peter J. Tobin College of Business",1
"The Partnership: The Provincial and Territorial Library Association of Canada",1
"The Norwegian Institute in Rome",1
"The Northern Negros State College of Science and Technology",1
"The Lonergan Institute at Boston College",1
"The Joseph Conrad Society (UK)",1
"The Johnson School",1
"The International Society of Multiphysics",1
"The Grassroots Institute",1
"The Ferrater Mora Oxford Centre for Animal Ethics",1
"The Elizabeth Bowen Society",1
"The Electrochemical Society of Japan",1
"The Dental Anthropology Association",1
"The College of Paramedics",1
"The British-Yemini Society",1
"The British Blockchain Association",1
"The Art of Eurasia",1
"The American Spinal Injury Association",1
"The Achievers Foundation for English Studies",1
"Texas Water Resources Institute",1
"Texas A&M University",1
"Teologinen Julkaisuseura ry",1
"Temple University",1
"Telos Press",1
"Tehran Urban Research and Planning Publication Center",1
"Technoscience Publications",1
"Technology & Engineering Management Society",1
"Technological Educational Institute of Athens",1
"Teachers College",1
"Taylor Institute for Teaching and Learning",1
"Tate Research",1
"Taiwan Nurses Association",1
"Taiwan Association for Aerosol Research",1
"T'ang Studies Society",1
"sigma network",1
"Södertörns Högskola, Centrum foer Oestersjoe- och Oesteuropaforskning",1
"Sällskapet för 1700-talsstudier",1
"Szkola Glówna Sluzby Pozarniczej",1
"Szegedi Tudományegyetem Bölcsészet- és Társadalom­tudományi Kar",1
"Systems, Man, and Cybernetics Society",1
"Systems Engineering Society of China (SESC)",1
"Synsint Research Group",1
"Sydney Law School",1
"Syddansk Universitet",1
"Swiss Sociological Association",1
"Swiss Society for Biomaterials and Regenerative Medicine",1
"Swiss National Museum",1
"Swiss Academy of Humanities and Social Sciences",1
"Swedish Nutrition Foundation",1
"Swansea University",1
"Svenska barnboksinstitutets",1
"Surveillance Studies Network",1
"SureShotPOST Online Publishing",1
"Suomen soveltavan kielitieteen yhdistys",1
"Suomen kasvatustieteellinen seura",1
"Suomen kansatieteilijöden yhdistys Ethnos ry",1
"Suomen Sotatieteellinen Seura ry",1
"Suomen Musiikkitieteellinen Seura ry",1
"Suomen Itämainen Seura",1
"Suomen Antropologinen Seura",1
"Suomalainen Tiedeakatemia",1
"Sunan Kalijaga State Islamic University",1
"Sun Yat-sen University",1
"Subaltern Media",1
"Student scientific journal ""2 de Diciembre""",1
"Stowarzyszenie Naukowe Przestrzen Spoleczna i Srodowisko",1
"Statistical Institute of Catalonia",1
"State University of Novi Pazar",1
"State Politics and Policy Organized Section",1
"State Organization «Grigoriev Institute for Medical Radiology and Oncology of the National Academy of Medical Sciences of Ukraine»",1
"State Key Laboratory of Automotive Safety and Energy",1
"Stansted News",1
"Staatliche Naturwissenschaftliche Sammlungen Bayerns",1
"St. Petersburg Pasteur Institute",1
"St. George Association",1
"St Olaf College",1
"St Mary's College",1
"Srpsko Biološko Društvo",1
"Srpska akademija nauka i umetnosti",1
"Sriwijaya University",1
"Sri Venkateswara Institute of Medical Sciences",1
"Sri Lanka Medical Association",1
"Squire Family Foundation",1
"Springer Milan",1
"Springer Japan",1
"Spiru Haret University",1
"Special Hospital for Thyroid Gland and Metabolism Diseases 'Zlatibor'",1
"Spanish Society of Statistics and Operations Research",1
"Spanish Society of Palaeontology",1
"Space Research Centre",1
"Southern Philippines Medical Center",1
"Southern Federal University",1
"Southern Economic Association",1
"South China University of Technology",1
"South Asian Society of Criminology and Victimology (SASCV)",1
"South African Sports Medicine Association",1
"Sosiaalilääketieteellinen Yhdistys ry",1
"Soil and Water Conservation Society",1
"Société des Océanistes",1
"Société de Chimie Thérapeutique",1
"Société d'Anthropologie des Connaissances",1
"Société Géologique de France",1
